#,Player,Team,Age,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
207,Doug McDermott,IND,29,66,32,34,24.5,13.6,5.4,10.1,53.2,1.7,4.3,38.8,1.2,1.5,81.6,0.9,2.4,3.3,1.3,0.8,0.3,0.1,1.8,20.0,0,0,-0.7
208,Mo Bamba,ORL,23,46,11,35,15.8,8.0,3.1,6.5,47.2,0.8,2.6,32.2,1.0,1.4,68.2,1.7,4.1,5.8,0.8,0.8,0.3,1.3,1.9,19.9,4,0,-4.4
209,Khem Birch,TOR,28,67,23,44,22.8,7.2,2.8,5.7,49.7,0.2,0.8,25.0,1.4,1.9,70.5,2.6,3.2,5.8,1.3,0.7,0.7,0.7,1.7,19.8,6,0,-1.9
210,Chuma Okeke,ORL,22,45,15,30,25.2,7.8,3.0,7.2,41.7,1.1,3.1,34.8,0.7,0.9,75.0,0.9,3.1,4.0,2.2,0.8,1.1,0.5,1.1,19.8,0,0,-4.0
211,Monte Morris,DEN,26,47,30,17,25.5,10.2,4.0,8.2,48.1,1.1,2.9,38.1,1.2,1.6,79.5,0.2,1.8,2.0,3.2,0.7,0.7,0.3,1.0,19.7,0,0,3.3
212,Reggie Jackson,LAC,31,67,43,24,23.0,10.7,3.9,8.7,45.0,1.8,4.2,43.3,1.0,1.2,81.7,0.4,2.5,2.9,3.1,1.1,0.6,0.1,1.9,19.7,0,0,3.7
213,Lou Williams,ATL,34,66,44,22,21.6,11.3,4.0,9.8,41.0,1.0,2.6,39.9,2.3,2.6,86.7,0.3,1.8,2.1,3.4,1.6,0.7,0.1,0.9,19.7,2,0,1.2
216,Reggie Bullock,NYK,30,65,38,27,30.0,10.9,3.8,8.6,44.2,2.5,6.1,41.0,0.8,0.8,90.9,0.2,3.2,3.4,1.5,0.7,0.8,0.2,2.2,19.5,0,0,1.6
218,Taurean Prince,CLE,27,41,15,26,22.1,9.5,3.2,8.0,40.1,1.5,3.8,40.0,1.6,1.9,85.5,0.5,3.0,3.5,1.9,1.1,0.7,0.6,1.8,19.0,0,0,-3.1
220,Aleksej Pokusevski,OKC,19,45,13,32,24.2,8.2,3.1,9.1,34.1,1.3,4.6,28.0,0.7,0.9,73.8,0.7,4.0,4.7,2.2,2.2,0.4,0.9,1.3,19.0,1,0,-8.7
