#,Player,Team,Age,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
357,Monta Ellis,IND,31,74,39,35,1998,11.4,4.5,10.0,44.3,0.8,2.4,31.9,1.7,2.3,72.7,0.3,3.3,3.7,4.3,2.4,1.4,0.5,2.7,25.4,0,0,-1.3
358,Austin Rivers,LAC,24,74,43,31,2054,15.6,5.7,12.8,44.2,1.9,5.2,37.1,2.3,3.3,69.1,0.4,2.5,2.8,3.6,2.0,0.8,0.2,3.3,25.4,0,0,-0.1
360,Aaron Brooks,IND,32,65,36,29,894,13.0,4.9,12.1,40.3,1.9,5.2,37.5,1.3,1.6,80.0,0.7,2.1,2.8,5.0,2.7,1.0,0.4,3.7,25.3,0,0,-1.3
361,D.J. Augustin,ORL,29,78,29,49,1538,14.4,4.6,12.1,37.7,2.2,6.4,34.7,3.1,3.8,81.4,0.4,2.4,2.7,4.9,2.1,0.7,0.0,2.4,25.2,0,0,-10.4
362,Trey Burke,WAS,24,57,35,22,703,14.6,5.9,13.1,45.5,1.6,3.6,44.3,1.1,1.5,75.9,0.4,2.0,2.4,5.1,2.5,0.6,0.3,2.8,25.2,0,0,-8.2
363,Isaiah Whitehead,BKN,22,73,17,56,1643,11.9,4.5,11.1,40.2,1.0,3.3,29.5,2.0,2.5,80.5,0.7,3.3,4.0,4.2,3.1,0.9,0.8,3.8,25.1,1,0,-2.5
364,Danny Green,SAS,30,68,51,17,1807,9.9,3.5,8.9,39.2,2.4,6.2,37.9,0.5,0.6,84.4,0.6,3.8,4.5,2.5,1.5,1.4,1.1,2.4,25.0,0,0,5.3
365,Jordan McRae,CLE,26,37,26,11,384,15.1,5.4,14.1,38.7,1.7,4.8,35.3,2.5,3.2,79.4,0.6,3.3,3.8,1.8,1.3,0.8,0.6,2.9,25.0,0,0,-5.6
366,Andrew Nicholson,BKN,27,38,20,18,342,10.5,4.5,11.7,38.7,0.5,2.8,18.5,0.9,1.5,64.3,1.6,4.8,6.4,1.1,1.8,1.7,0.6,5.8,25.0,0,0,-13.6
367,Andrew Harrison,MEM,22,72,38,34,1474,10.4,2.9,8.8,32.5,1.1,3.8,27.6,3.6,4.7,76.3,0.6,2.8,3.3,4.8,2.1,1.3,0.5,4.7,25.0,0,0,-0.6
369,Gerald Henderson,PHI,29,72,24,48,1667,14.3,5.1,11.9,42.3,1.3,3.7,35.3,2.9,3.6,80.6,0.7,3.3,4.0,2.4,1.3,0.9,0.3,2.8,24.9,0,0,-6.6
371,Mario Hezonja,ORL,22,65,20,45,960,11.9,4.4,12.4,35.5,1.6,5.4,29.9,1.5,1.9,80.0,0.7,4.7,5.5,2.3,2.2,1.1,0.6,2.8,24.8,0,0,-10.8
373,Malcolm Delaney,ATL,28,73,37,36,1248,11.3,4.2,11.2,37.4,0.8,3.2,23.6,2.2,2.7,80.6,0.3,3.3,3.5,5.6,2.7,1.1,0.0,3.2,24.6,0,0,0.9
374,Langston Galloway,SAC,25,74,29,45,1494,14.1,5.0,13.1,38.0,2.9,7.4,39.0,1.2,1.5,79.7,0.7,3.1,3.8,2.2,1.1,1.1,0.1,2.3,24.6,0,0,-1.4
375,Jerami Grant,OKC,23,80,43,37,1531,10.3,3.6,7.7,46.3,1.0,2.7,37.1,2.1,3.5,61.2,0.9,3.9,4.8,1.1,1.0,0.8,1.9,3.5,24.5,0,0,-4.4
376,Courtney Lee,NYK,31,77,29,48,2459,12.2,4.7,10.3,45.6,1.6,3.9,40.1,1.2,1.4,86.7,0.8,3.0,3.8,2.6,1.0,1.2,0.4,2.1,24.3,0,0,-3.4
378,Rashad Vaughn,MIL,20,41,18,23,459,11.1,4.5,12.2,36.5,2.0,6.4,32.1,0.2,0.4,40.0,0.3,3.5,3.8,1.8,1.1,1.5,0.8,2.5,24.2,0,0,-6.0
