#,Player,Team,Age,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
234,Cristiano Felicio,CHI,25,26,7,19,22.5,7.3,3.0,5.2,58.5,0.0,0.1,0.0,1.2,1.7,72.1,1.9,3.9,5.8,1.3,1.4,0.4,0.2,2.1,16.8,3,0,-6.2
234,Ed Davis,POR,29,26,18,8,19.1,4.8,2.1,3.4,60.7,0.0,0.0,0.0,0.7,0.9,70.8,2.1,5.8,8.0,0.5,0.8,0.3,0.5,2.2,16.8,2,0,-0.5
236,Aron Baynes,BOS,31,28,16,12,18.7,5.9,2.6,5.5,47.7,0.1,0.4,25.0,0.5,0.6,82.4,1.6,3.9,5.4,1.6,1.0,0.3,0.7,2.5,16.8,1,0,1.6
237,David West,GSW,37,24,14,10,14.3,6.5,2.8,5.4,51.2,0.0,0.0,0.0,1.0,1.1,85.2,0.9,2.2,3.1,2.1,1.2,0.7,0.9,1.8,16.8,0,0,-0.5
238,Bismack Biyombo,ORL,25,31,9,22,17.3,6.0,2.4,4.8,50.0,0.0,0.0,0.0,1.2,1.9,61.0,1.7,3.9,5.5,1.1,1.0,0.3,0.8,1.6,16.7,2,0,-5.3
239,Shaquille Harrison,PHX,24,23,3,20,16.7,6.6,2.6,5.4,47.6,0.3,1.1,23.1,1.2,1.7,73.7,0.4,2.3,2.7,2.4,1.0,1.1,0.3,1.8,16.7,1,0,2.0
240,Dante Cunningham,BKN,31,23,7,16,20.9,7.3,2.9,6.2,46.2,1.1,2.7,39.7,0.5,0.7,68.8,1.2,3.4,4.6,0.9,0.8,0.6,0.5,1.7,16.7,1,0,-1.9
241,Kyle Korver,CLE,37,23,13,10,21.5,9.2,3.0,6.4,46.9,2.3,5.0,45.6,1.0,1.0,91.7,0.1,2.8,2.9,1.0,0.9,0.6,0.5,2.2,16.7,0,0,3.4
242,JR Smith,CLE,32,30,20,10,26.0,9.4,3.5,7.7,45.0,1.9,4.4,43.5,0.5,0.7,72.7,0.3,2.8,3.0,1.4,1.1,0.7,0.2,1.8,16.7,0,0,-1.4
244,Richaun Holmes,PHI,24,21,19,2,15.4,6.0,2.6,4.5,57.9,0.0,0.4,11.1,0.8,1.2,61.5,1.0,3.2,4.2,1.6,0.5,0.4,0.8,1.7,16.4,0,0,-1.2
246,Ian Clark,NOP,27,29,18,11,24.3,10.2,4.2,9.0,46.6,1.0,3.0,33.0,0.8,0.9,88.0,0.2,1.9,2.1,1.9,1.1,0.6,0.1,2.0,16.4,0,0,0.2
247,Justin Jackson,SAC,23,31,10,21,26.9,8.5,3.5,7.2,48.7,1.0,3.1,32.3,0.5,0.6,80.0,0.5,3.0,3.5,1.5,0.6,0.5,0.2,1.4,16.4,0,0,-3.7
248,Royce O'Neale,UTA,25,31,26,5,22.0,6.0,2.3,5.1,45.2,0.6,1.8,35.1,0.8,0.9,85.7,0.6,3.7,4.3,1.9,1.1,0.7,0.5,2.1,16.3,0,0,3.7
251,Luc Mbah a Moute,HOU,31,29,26,3,25.1,8.0,2.9,5.7,51.2,1.0,2.7,36.4,1.2,1.8,68.6,0.2,2.6,2.8,0.9,0.9,1.1,0.4,1.5,16.3,0,0,3.8
252,Jamal Crawford,MIN,38,27,14,13,24.3,11.3,4.3,10.5,41.2,1.6,4.8,32.6,1.1,1.1,93.5,0.4,0.9,1.4,2.1,1.4,0.4,0.1,1.0,16.3,0,0,-1.5
253,Luke Kennard,DET,22,29,14,15,22.2,8.3,3.1,6.8,45.4,1.1,2.8,39.5,1.1,1.3,81.6,0.3,2.4,2.7,2.2,0.9,0.6,0.2,1.4,16.2,0,0,-0.3
258,Deyonta Davis,MEM,21,25,4,21,18.6,7.0,3.2,5.3,60.9,0.0,0.0,0.0,0.6,0.8,66.7,1.3,3.4,4.7,0.8,0.3,0.2,0.6,2.2,15.7,1,0,-5.1
259,Ben McLemore,MEM,25,26,2,24,21.9,8.3,3.1,7.3,41.9,1.2,3.1,38.8,1.0,1.3,78.8,0.8,2.3,3.0,0.9,1.3,0.8,0.3,2.4,15.7,0,0,-9.3
260,CJ Miles,TOR,31,28,23,5,19.6,10.2,3.2,8.6,37.5,2.4,6.6,35.5,1.4,1.6,84.8,0.3,2.3,2.5,1.1,0.7,0.4,0.1,1.9,15.7,0,0,7.1
263,Manu Ginobili,SAS,40,25,12,13,19.2,8.2,2.7,6.6,41.2,0.9,2.7,32.8,1.9,2.4,80.0,0.2,1.9,2.1,2.6,1.6,0.7,0.1,2.0,15.5,0,0,1.0
264,Devin Harris,DEN,35,28,18,10,20.0,8.7,2.7,6.4,42.1,1.4,3.8,35.8,2.0,2.3,85.9,0.1,1.5,1.6,2.5,1.0,0.6,0.1,2.1,15.5,0,0,0.3
265,Courtney Lee,NYK,32,24,4,20,25.0,9.0,3.5,7.8,44.9,1.1,3.2,35.1,0.9,1.0,88.0,0.2,2.0,2.2,1.4,0.8,0.5,0.3,1.2,15.4,0,0,-7.4
268,Willy Hernangomez,CHA,24,23,11,12,11.5,6.0,1.9,3.7,51.2,0.2,0.3,57.1,2.0,2.7,75.8,1.7,3.4,5.1,0.5,0.4,0.4,0.4,1.4,15.1,3,0,1.0
270,Tyus Jones,MIN,22,27,14,13,17.4,5.6,2.0,4.3,45.7,0.6,1.8,32.7,1.0,1.2,87.5,0.1,1.3,1.4,3.0,0.8,1.2,0.1,1.4,15.0,0,0,-0.7
271,Ian Mahinmi,WAS,31,28,15,13,16.0,6.3,2.5,4.3,57.5,0.0,0.1,0.0,1.4,2.0,69.6,2.1,2.6,4.6,0.7,1.5,0.6,0.6,3.0,14.9,1,0,-1.3
272,Evan Turner,POR,29,29,19,10,23.9,7.6,2.9,6.8,42.9,0.6,1.9,33.3,1.1,1.3,86.8,0.3,2.2,2.5,2.0,0.8,0.3,0.4,1.8,14.9,0,0,-1.1
275,T.J. McConnell,PHI,26,33,27,6,19.6,4.5,2.0,4.5,45.0,0.2,0.6,35.0,0.2,0.3,72.7,0.4,2.0,2.4,3.3,0.9,1.0,0.1,1.3,14.8,1,1,-0.5
276,Amir Johnson,PHI,31,28,22,6,16.7,4.4,1.8,3.3,53.8,0.2,0.6,37.5,0.6,1.0,63.0,1.5,2.8,4.3,2.0,0.7,0.6,0.4,2.5,14.8,0,0,3.1
281,JaVale McGee,GSW,30,30,18,12,11.0,5.6,2.5,4.1,60.7,0.0,0.0,0.0,0.6,0.9,70.4,1.1,2.3,3.4,0.6,0.4,0.4,1.1,1.7,14.5,0,0,1.3
282,Frank Ntilikina,NYK,19,28,5,23,23.6,6.7,2.6,7.0,37.6,0.6,2.1,30.5,0.8,1.0,77.8,0.6,1.8,2.4,2.9,1.4,0.4,0.3,2.3,14.5,0,0,-2.0
283,Ivan Rabb,MEM,21,23,1,22,15.7,5.7,2.4,4.5,53.8,0.0,0.0,0.0,0.8,1.0,78.3,1.4,3.4,4.9,0.9,1.1,0.5,0.4,1.6,14.5,2,0,-3.4
284,Mario Chalmers,MEM,32,20,4,16,19.1,7.1,2.4,6.0,39.2,0.7,2.5,28.0,1.7,1.9,89.2,0.2,1.5,1.6,2.8,2.3,1.0,0.2,2.7,14.4,0,0,-3.1
285,Tyler Zeller,MIL,28,23,12,11,16.5,5.8,2.6,4.4,57.8,0.0,0.1,0.0,0.7,0.7,88.2,1.9,2.5,4.4,0.8,0.5,0.3,0.6,2.0,14.4,0,0,1.6
286,Raymond Felton,OKC,34,30,17,13,16.5,6.7,2.6,6.9,37.0,1.1,3.3,33.7,0.5,0.5,100,0.2,1.4,1.6,2.3,0.8,0.7,0.3,1.3,14.3,0,0,-0.1
287,Shabazz Napier,POR,26,28,19,9,19.8,7.1,2.3,6.7,34.2,1.1,3.4,33.3,1.4,1.7,85.1,0.3,1.9,2.2,1.6,1.1,0.9,0.2,1.0,14.3,0,0,-0.8
290,Troy Daniels,PHX,26,27,2,25,23.4,9.3,3.1,8.4,37.6,2.3,6.4,36.6,0.6,0.8,81.0,0.3,2.1,2.4,0.7,0.8,0.5,0.1,1.7,14.1,0,0,-10.7
