#,Team,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,Year
18,Vancouver Grizzlies,9,4,5,0.444,48,88.4,33.3,79,42.2,3.7,11,33.3,18.1,24.8,73.1,11.4,30.7,42.1,21.6,15.4,9.4,3.3,6.7,23.3,0,1.7,2000
20,Charlotte Hornets,10,4,6,0.4,48.5,87.6,31.4,76,41.3,3.7,11.5,32.2,21.1,29.3,72,12.3,29.8,42.1,19.2,16.1,7.5,5.4,4.4,22.3,0.1,-0.9,2000
20,Detroit Pistons,10,4,6,0.4,48,93.9,35.7,82.8,43.1,4.4,13.3,33.1,18.1,23.7,76.4,13,32.6,45.6,20.5,18.7,7.6,4.9,4.5,26.3,0,-2,2000
20,Orlando Magic,10,4,6,0.4,48.5,92.4,34.8,84,41.4,4.4,14.8,29.7,18.4,26.4,69.7,13.7,28,41.7,19.2,19.5,10.2,6.2,4.8,26.2,0.1,-4.2,2000
23,Los Angeles Clippers,11,4,7,0.364,48.5,87.2,32.8,76.4,43,3.9,13.9,28.1,17.6,26.9,65.5,12.7,31.6,44.4,17.5,18.5,5.7,5.4,5.1,23.8,0,-4.1,2000
23,Seattle SuperSonics,11,4,7,0.364,48,93.8,34.5,80.4,43,6,17.9,33.5,18.7,25.5,73.3,13.4,29.6,43,21,19.1,8.7,5,5.7,21.7,0.1,-3,2000
25,Milwaukee Bucks,9,3,6,0.333,48,92.9,35.9,81.3,44.1,6,17.6,34.2,15.1,20.2,74.7,11.9,27.9,39.8,20,13.7,6.9,4.9,4.6,25,0.1,-4.3,2000
26,Washington Wizards,11,3,8,0.273,48,89.7,33,74.8,44.1,3.4,8.5,39.4,20.4,28.7,70.9,9.5,31.3,40.7,19.8,17.9,7.3,6.3,6,25.9,0.1,-2.8,2000
27,Golden State Warriors,9,2,7,0.222,49.1,95.1,35.6,86.6,41.1,3.7,10.8,34,20.3,29,70.1,14.7,33,47.7,21.1,18.8,9.2,5.9,7.1,23.6,0.1,-7.6,2000
28,Chicago Bulls,9,1,8,0.111,48,81,28.6,76.9,37.1,3.6,9.9,36,20.3,28,72.6,12.6,27.1,39.7,18.1,16.3,7.6,5.7,6.7,25.4,0,-15.7,2000
