#,Team,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,Year
11,Minnesota Timberwolves,23,13,10,0.565,48.2,107.7,39.8,84.7,47,8.5,23,36.9,19.6,25,78.4,10.8,31.5,42.3,22.9,14.4,8.8,3.6,5,17.8,22.1,0.3,2017
11,Portland Trail Blazers,23,13,10,0.565,48.2,103.2,37.7,85.8,44,9,24.1,37.2,18.8,23,81.5,10.6,36.6,47.1,18.2,14.8,6.7,5.5,5.8,19.7,20.3,3.2,2017
13,Washington Wizards,22,12,10,0.545,48.5,107.8,39.5,85.5,46.2,9.5,26,36.8,19.2,24.5,78.6,9.7,33.5,43.1,22.4,14.3,7.8,4.4,5.1,21.9,21.9,4,2017
14,New York Knicks,21,11,10,0.524,48,104.5,40,84.9,47.1,8.3,23.5,35.4,16.3,20.4,79.7,10.8,34.3,45.1,23.4,16.2,7,4.9,5,20.7,20.7,0.8,2017
15,Indiana Pacers,23,12,11,0.522,48,108.6,41.5,86.8,47.8,9.9,25,39.7,15.7,20.3,77.3,9.2,33.3,42.5,23.2,14.2,8,4.5,5.8,18.7,18.5,0.3,2017
15,New Orleans Pelicans,23,12,11,0.522,48.2,108.6,40.9,85.3,47.9,10.7,29.8,35.8,16.2,21.5,75.5,8.5,35,43.6,25.9,16,7.5,4.5,4.3,20.1,20.7,-0.8,2017
15,Utah Jazz,23,12,11,0.522,48.2,103.1,37.7,83.3,45.2,11.7,30.3,38.6,16.1,19.7,82.1,8.7,31.5,40.3,21.9,14.6,9.6,5.4,4.7,20.3,20.1,3.1,2017
18,Miami Heat,22,11,11,0.5,48.2,100.2,37.2,83.1,44.7,11.6,32.4,35.8,14.3,18.6,76.6,8.2,34.5,42.6,21,16.3,7.5,4.9,4.5,21,19.1,-2.5,2017
19,Oklahoma City Thunder,21,9,12,0.429,48,102.7,37.8,85.9,44,10.7,31,34.5,16.4,22.1,74.2,11.2,31.4,42.6,21.1,15,10.6,5,4.6,21.3,20.5,3.1,2017
20,Orlando Magic,23,9,14,0.391,48,108.1,40.4,86.4,46.8,11.7,30.5,38.5,15.6,21.3,73.4,8.3,33.3,41.6,24,15.1,7.9,5.1,4.9,20.1,19.3,-3.7,2017
