Player,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
Ty Lawson,31,35,21.4,99.9,105.6,-5.7,25.1,2.49,32.7,1.7,6.4,4.0,13.1,44.4,47.6,14.5,101.33,6.8,"2,984"
Kyle Korver,46,34,30.0,105.5,98.3,7.2,9.5,1.67,18.4,0.6,9.6,5.3,11.0,56.2,57.7,13.2,99.17,6.8,"4,995"
JR Smith,53,24,30.7,112.2,105.6,6.5,8.2,2.20,12.1,1.8,7.6,4.7,5.5,53.5,54.2,17.7,94.55,6.7,"4,654"
James Johnson,35,22,16.2,104.9,105.1,-0.2,11.3,1.24,17.1,3.1,11.0,7.0,13.8,51.7,53.2,15.7,94.24,6.7,"1,823"
Josh Richardson,29,23,21.3,104.3,102.5,1.8,9.8,2.09,17.8,2.0,7.5,4.8,8.6,55.0,56.9,13.4,95.27,6.6,"2,197"
Josh Smith,31,24,16.0,96.7,101.5,-4.7,17.2,1.17,16.4,5.3,15.4,10.2,14.0,42.3,43.9,22.1,100.97,6.6,"1,857"
Donatas Motiejunas,19,18,14.8,105.5,101.5,4.0,11.6,0.93,13.0,6.9,12.4,9.7,13.9,47.8,50.4,21.4,100.22,6.6,"1,141"
Wesley Matthews,40,38,33.9,108.0,106.0,2.0,8.8,1.94,13.2,1.0,8.0,4.5,6.8,49.8,53.2,17.1,95.16,6.5,"5,243"
Markel Brown,12,50,15.8,102.5,113.5,-11.0,14.2,1.69,17.9,2.3,10.6,6.3,10.6,45.3,50.0,18.3,97.82,6.5,"1,995"
Mario Hezonja,33,46,17.9,102.6,102.7,-0.1,11.3,1.12,16.8,1.9,10.8,6.2,15.0,51.3,54.1,16.6,98.46,6.5,"2,899"
Ray McCallum,30,11,11.6,104.5,102.4,2.1,18.5,2.50,25.3,1.6,8.3,4.9,10.1,42.8,44.9,16.4,94.66,6.5,936
Stanley Johnson,37,36,23.1,100.6,104.2,-3.6,11.3,1.04,13.5,3.1,14.7,8.6,13.0,42.8,46.0,19.1,98.10,6.4,"3,441"
Justise Winslow,46,32,28.6,102.7,100.3,2.4,7.7,1.24,16.2,3.8,14.0,9.1,13.0,45.7,48.9,12.2,95.88,6.4,"4,461"
