#,Player,Team,Age,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
213,De'Anthony Melton,MEM,22,24,10,14,21.8,6.8,2.3,7.4,31.1,0.8,3.2,26.3,1.4,2.2,65.4,0.8,2.9,3.6,2.8,1.3,1.3,0.3,1.8,19.0,0,0,0.2
214,George Hill,MIL,34,15,9,6,22.9,8.4,2.7,6.2,44.1,0.9,3.0,31.1,2.0,2.3,88.2,0.7,2.3,2.9,3.2,1.0,1.0,0.1,1.4,18.9,0,0,5.4
215,Justin Holiday,IND,31,25,14,11,24.6,8.2,2.8,6.6,42.7,1.8,4.8,38.3,0.8,1.0,76.9,0.5,2.5,3.0,0.8,0.8,1.5,0.7,2.2,18.9,0,0,-1.3
216,Harry Giles III,SAC,22,24,13,11,17.7,9.1,4.0,6.7,59.6,0.0,0.1,0.0,1.1,1.5,74.3,1.2,4.2,5.4,1.3,1.0,0.4,0.4,2.9,18.8,2,0,-3.8
218,Trey Burke,DAL,27,10,3,7,20.8,9.8,3.6,8.8,40.9,1.6,3.9,41.0,1.0,1.1,90.9,0.2,1.4,1.6,3.3,0.9,0.9,0.1,1.4,18.8,0,0,-2.8
219,Gorgui Dieng,MEM,30,20,7,13,17.4,7.0,2.4,4.9,49.0,0.5,1.9,27.0,1.7,2.3,73.3,1.1,4.3,5.4,0.8,1.1,0.8,1.0,1.8,18.7,3,0,-0.4
221,Robert Williams III,BOS,22,10,5,5,11.9,7.6,3.1,3.9,79.5,0.0,0.0,0.0,1.4,2.0,70.0,1.7,2.4,4.1,0.6,0.5,0.5,1.4,1.7,18.6,0,0,3.4
222,Tony Snell,DET,28,16,3,13,31.4,8.1,2.9,6.9,42.3,1.4,4.0,35.9,0.8,0.8,100,0.2,1.8,2.0,3.9,0.8,0.8,0.3,1.9,18.6,0,0,-2.1
223,P.J. Tucker,HOU,35,24,14,10,32.7,5.9,2.1,5.8,36.2,1.5,4.5,34.6,0.2,0.3,66.7,1.5,4.2,5.7,1.5,0.8,0.9,0.6,2.8,18.6,1,0,1.5
224,Jeff Teague,ATL,32,18,7,11,21.0,8.4,2.9,6.8,43.1,0.4,1.2,31.8,2.1,2.4,88.4,0.4,1.7,2.1,3.9,1.3,0.8,0.3,1.3,18.6,0,0,-3.8
225,Nicolo Melli,NOP,29,23,10,13,21.2,7.8,2.7,7.0,38.5,1.4,4.5,30.8,1.0,1.6,66.7,0.8,3.0,3.8,1.9,0.8,0.6,0.7,2.5,18.4,0,0,-1.3
226,Mason Plumlee,DEN,30,18,8,10,17.1,6.7,2.8,4.3,64.1,0.0,0.1,0.0,1.1,2.3,48.8,1.1,3.3,4.3,2.7,1.1,0.6,0.6,2.7,18.4,0,0,-3.4
